Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,115.800003,116.330002,114.760002,116.150002,114.311760,28781900
2017-01-04,115.849998,116.510002,115.750000,116.019997,114.183815,21118100
2017-01-05,115.919998,116.860001,115.809998,116.610001,114.764473,22193600
2017-01-06,116.779999,118.160004,116.470001,117.910004,116.043915,31751900
2017-01-09,117.949997,119.430000,117.940002,118.989998,117.106812,33561900
2017-01-10,118.769997,119.379997,118.300003,119.110001,117.224907,24462100
2017-01-11,118.739998,119.930000,118.599998,119.750000,117.854782,27588600
2017-01-12,118.900002,119.300003,118.209999,119.250000,117.362694,27086200
2017-01-13,119.110001,119.620003,118.809998,119.040001,117.156021,26111900
2017-01-17,118.339996,120.239998,118.220001,120.000000,118.100822,34439800
2017-01-18,120.000000,120.500000,119.709999,119.989998,118.090981,23713000
2017-01-19,119.400002,120.089996,119.370003,119.779999,117.884300,25597300
2017-01-20,120.449997,120.449997,119.730003,120.000000,118.100822,32597900
2017-01-23,120.000000,120.809998,119.769997,120.080002,118.179558,22050200
2017-01-24,119.550003,120.099998,119.500000,119.970001,118.071304,23211000
2017-01-25,120.419998,122.099998,120.279999,121.879997,119.951073,32377600
2017-01-26,121.669998,122.440002,121.599998,121.940002,120.010132,26337600
2017-01-27,122.139999,122.349998,121.599998,121.949997,120.019958,20562900
2017-01-30,120.930000,121.629997,120.660004,121.629997,119.705017,30377500
2017-01-31,121.150002,121.389999,120.620003,121.349998,119.429459,49201000
2017-02-01,127.029999,130.490005,127.010002,128.750000,126.712341,111985000
2017-02-02,127.980003,129.389999,127.779999,128.529999,126.495819,33710400
2017-02-03,128.309998,129.190002,128.160004,129.080002,127.037125,24507300
2017-02-06,129.130005,130.500000,128.899994,130.289993,128.227966,26845900
2017-02-07,130.539993,132.089996,130.449997,131.529999,129.448349,38183800
2017-02-08,131.350006,132.220001,131.220001,132.039993,129.950287,23004100
2017-02-09,131.649994,132.449997,131.119995,132.419998,130.889282,28349900
2017-02-10,132.460007,132.940002,132.050003,132.119995,130.592758,20065500
2017-02-13,133.080002,133.820007,132.750000,133.289993,131.749222,23035400
2017-02-14,133.470001,135.089996,133.250000,135.020004,133.459244,33226200
2017-02-15,135.520004,136.270004,134.619995,135.509995,133.943573,35623100
2017-02-16,135.669998,135.899994,134.839996,135.350006,133.785416,22584600
2017-02-17,135.100006,135.830002,135.100006,135.720001,134.151154,22198200
2017-02-21,136.229996,136.750000,135.979996,136.699997,135.119827,24507200
2017-02-22,136.429993,137.119995,136.110001,137.110001,135.525070,20836900
2017-02-23,137.380005,137.479996,136.300003,136.529999,134.951782,20788200
2017-02-24,135.910004,136.660004,135.279999,136.660004,135.080292,21776600
2017-02-27,137.139999,137.440002,136.279999,136.929993,135.347153,20257400
2017-02-28,137.080002,137.440002,136.699997,136.990005,135.406479,23482900
2017-03-01,137.889999,140.149994,137.600006,139.789993,138.174088,36414600
2017-03-02,140.000000,140.279999,138.759995,138.960007,137.353699,26211000
2017-03-03,138.779999,139.830002,138.589996,139.779999,138.164200,21108100
2017-03-06,139.369995,139.770004,138.600006,139.339996,137.729309,21750000
2017-03-07,139.059998,139.979996,138.789993,139.520004,137.907227,17446300
2017-03-08,138.949997,139.800003,138.820007,139.000000,137.393234,18707200
2017-03-09,138.740005,138.789993,137.050003,138.679993,137.076920,22155900
2017-03-10,139.250000,139.360001,138.639999,139.139999,137.531601,19612800
2017-03-13,138.850006,139.429993,138.820007,139.199997,137.590912,17421700
2017-03-14,139.300003,139.649994,138.839996,138.990005,137.383347,15309100
2017-03-15,139.410004,140.750000,139.029999,140.460007,138.836365,25691800
2017-03-16,140.720001,141.020004,140.259995,140.690002,139.063690,19232000
2017-03-17,141.000000,141.000000,139.889999,139.990005,138.371780,43885000
2017-03-20,140.399994,141.500000,140.229996,141.460007,139.824799,21542000
2017-03-21,142.110001,142.800003,139.729996,139.839996,138.223511,39529900
2017-03-22,139.850006,141.600006,139.759995,141.419998,139.785248,25860200
2017-03-23,141.259995,141.580002,140.610001,140.919998,139.291031,20346300
2017-03-24,141.500000,141.740005,140.350006,140.639999,139.014267,22395600
2017-03-27,139.389999,141.220001,138.619995,140.880005,139.251511,23575100
2017-03-28,140.910004,144.039993,140.619995,143.800003,142.137741,33374800
2017-03-29,143.679993,144.490005,143.190002,144.119995,142.454041,29190000
2017-03-30,144.190002,144.500000,143.500000,143.929993,142.266235,21207300
2017-03-31,143.720001,144.270004,143.009995,143.660004,141.999374,19661700
2017-04-03,143.710007,144.119995,143.050003,143.699997,142.038910,19985700
2017-04-04,143.250000,144.889999,143.169998,144.770004,143.096542,19891400
2017-04-05,144.220001,145.460007,143.809998,144.020004,142.355209,27717900
2017-04-06,144.289993,144.520004,143.449997,143.660004,141.999374,21149000
2017-04-07,143.729996,144.179993,143.270004,143.339996,141.683060,16672200
2017-04-10,143.600006,143.880005,142.899994,143.169998,141.515030,18933400
2017-04-11,142.940002,143.350006,140.059998,141.630005,139.992844,30379400
2017-04-12,141.600006,142.149994,141.009995,141.800003,140.160873,20350000
2017-04-13,141.910004,142.380005,141.050003,141.050003,139.419540,17822900
2017-04-17,141.479996,141.880005,140.869995,141.830002,140.190521,16582100
2017-04-18,141.410004,142.039993,141.110001,141.199997,139.567795,14697500
2017-04-19,141.880005,142.000000,140.449997,140.679993,139.053818,17328400
2017-04-20,141.220001,142.919998,141.160004,142.440002,140.793457,23319600
2017-04-21,142.440002,142.679993,141.850006,142.270004,140.625443,17320900
2017-04-24,143.500000,143.949997,143.179993,143.639999,141.979584,17134300
2017-04-25,143.910004,144.899994,143.869995,144.529999,142.859299,18871500
2017-04-26,144.470001,144.600006,143.380005,143.679993,142.019119,20041200
2017-04-27,143.919998,144.160004,143.309998,143.789993,142.127869,14246300
2017-04-28,144.089996,144.300003,143.270004,143.649994,141.989456,20860400
2017-05-01,145.100006,147.199997,144.960007,146.580002,144.885605,33602900
2017-05-02,147.539993,148.089996,146.839996,147.509995,145.804855,45352200
2017-05-03,145.589996,147.490005,144.270004,147.059998,145.360062,45697000
2017-05-04,146.520004,147.139999,145.809998,146.529999,144.836182,23371900
2017-05-05,146.759995,148.979996,146.759995,148.960007,147.238113,27327700
2017-05-08,149.029999,153.699997,149.029999,153.009995,151.241272,48752400
2017-05-09,153.869995,154.880005,153.449997,153.990005,152.209961,39130400
2017-05-10,153.630005,153.940002,152.110001,153.259995,151.488388,25805700
2017-05-11,152.449997,154.070007,152.309998,153.949997,152.798523,27255100
2017-05-12,154.699997,156.419998,154.669998,156.100006,154.932449,32527000
2017-05-15,156.009995,156.649994,155.050003,155.699997,154.535416,26009700
2017-05-16,155.940002,156.059998,154.720001,155.470001,154.307144,20048500
2017-05-17,153.600006,154.570007,149.710007,150.250000,149.126190,50767700
2017-05-18,151.270004,153.339996,151.130005,152.539993,151.399048,33568200
2017-05-19,153.380005,153.979996,152.630005,153.059998,151.915176,26960800
2017-05-22,154.000000,154.580002,152.910004,153.990005,152.838211,22966400
2017-05-23,154.899994,154.899994,153.309998,153.800003,152.649643,19918900
2017-05-24,153.839996,154.169998,152.669998,153.339996,152.193069,19178000
